,Fecha,Hora,Producto,Accion,Modulo,Usuario,Host
166,05/05/2022,21:34:09,adskflex,IN,87537INVPROSA_2022_0F,upm,etsidi00019
167,05/05/2022,21:34:09,adskflex,IN,64801INVPROSA_F,upm,etsidi00019
168,05/05/2022,21:37:43,adskflex,OUT,85950RVT_F,UPM,upm00404
169,05/05/2022,21:37:43,adskflex,OUT,87561RVT_2022_0F,UPM,upm00404
170,05/05/2022,21:46:04,adskflex,IN,87537INVPROSA_2022_0F,upm,etsidi00024
171,05/05/2022,21:46:04,adskflex,IN,64801INVPROSA_F,upm,etsidi00024
172,05/05/2022,21:48:48,adskflex,IN,87537INVPROSA_2022_0F,upm,etsidi00020
173,05/05/2022,21:48:48,adskflex,IN,64801INVPROSA_F,upm,etsidi00020
174,05/05/2022,21:54:34,adskflex,IN,87561RVT_2022_0F,UPM,upm00404
175,05/05/2022,21:54:34,adskflex,IN,85950RVT_F,UPM,upm00404
176,05/05/2022,21:54:43,adskflex,OUT,85950RVT_F,UPM,upm00404
177,05/05/2022,21:54:43,adskflex,OUT,87561RVT_2022_0F,UPM,upm00404
178,05/05/2022,21:56:51,adskflex,OUT,85950RVT_F,UPM,upm00404
179,05/05/2022,21:56:51,adskflex,OUT,87561RVT_2022_0F,UPM,upm00404
180,05/05/2022,21:57:35,adskflex,IN,87561RVT_2022_0F,UPM,upm00404
181,05/05/2022,21:57:35,adskflex,IN,85950RVT_F,UPM,upm00404
182,05/05/2022,21:58:35,adskflex,IN,87561RVT_2022_0F,UPM,upm00404
183,05/05/2022,21:58:35,adskflex,IN,85950RVT_F,UPM,upm00404
184,05/05/2022,21:59:03,adskflex,OUT,85950RVT_F,UPM,upm00404
185,05/05/2022,21:59:03,adskflex,OUT,87561RVT_2022_0F,UPM,upm00404
186,05/05/2022,21:59:07,adskflex,IN,87537INVPROSA_2022_0F,UPM,upm00401
187,05/05/2022,21:59:07,adskflex,IN,64801INVPROSA_F,UPM,upm00401
188,05/05/2022,22:00:45,adskflex,IN,64801INVPROSA_F,UPM,upm00059
189,05/05/2022,22:00:45,adskflex,IN,87537INVPROSA_2022_0F,UPM,upm00059
190,05/05/2022,22:00:56,adskflex,OUT,64801INVPROSA_F,upm,etsidi00025
191,05/05/2022,22:00:56,adskflex,OUT,87537INVPROSA_2022_0F,upm,etsidi00025
192,05/05/2022,22:01:53,adskflex,IN,85950RVT_F,UPM,upm00404
193,05/05/2022,22:01:53,adskflex,IN,87561RVT_2022_0F,UPM,upm00404
194,05/05/2022,22:03:37,adskflex,OUT,85950RVT_F,UPM,upm00406
195,05/05/2022,22:03:37,adskflex,OUT,87561RVT_2022_0F,UPM,upm00406
196,05/05/2022,22:05:39,adskflex,IN,64801INVPROSA_F,UPM,upm00208
197,05/05/2022,22:05:39,adskflex,IN,87537INVPROSA_2022_0F,UPM,upm00208
198,05/05/2022,22:10:21,adskflex,OUT,64801INVPROSA_F,upm,etsidi00022
199,05/05/2022,22:10:21,adskflex,OUT,87537INVPROSA_2022_0F,upm,etsidi00022
200,05/05/2022,22:29:29,adskflex,IN,87537INVPROSA_2022_0F,UPM,upm00393
201,05/05/2022,22:29:29,adskflex,IN,64801INVPROSA_F,UPM,upm00393
202,05/05/2022,22:33:10,adskflex,OUT,64801INVPROSA_F,UPM,upm00393
203,05/05/2022,22:33:10,adskflex,OUT,87537INVPROSA_2022_0F,UPM,upm00393
204,05/05/2022,22:33:53,adskflex,IN,87537INVPROSA_2022_0F,upm,etsidi00022
205,05/05/2022,22:33:53,adskflex,IN,64801INVPROSA_F,upm,etsidi00022
206,05/05/2022,22:42:41,adskflex,IN,87537INVPROSA_2022_0F,UPM,upm00393
207,05/05/2022,22:42:41,adskflex,IN,64801INVPROSA_F,UPM,upm00393
208,05/05/2022,22:49:32,adskflex,IN,64300ACD_F,UPM,upm00391
209,05/05/2022,22:49:32,adskflex,IN,87545ACD_2022_0F,UPM,upm00391
210,05/05/2022,22:53:31,adskflex,OUT,64801INVPROSA_F,UPM,upm00440
211,05/05/2022,22:53:31,adskflex,OUT,87537INVPROSA_2022_0F,UPM,upm00440
212,05/05/2022,22:55:34,adskflex,OUT,64801INVPROSA_F,upm,etsidi00028
213,05/05/2022,22:55:34,adskflex,OUT,87537INVPROSA_2022_0F,upm,etsidi00028
214,05/05/2022,22:55:52,adskflex,IN,64801INVPROSA_F,UPM,upm00295
215,05/05/2022,22:55:52,adskflex,IN,87537INVPROSA_2022_0F,UPM,upm00295
216,05/05/2022,23:14:48,adskflex,IN,87537INVPROSA_2022_0F,upm,etsidi00025
217,05/05/2022,23:14:48,adskflex,IN,64801INVPROSA_F,upm,etsidi00025
218,05/05/2022,23:55:28,adskflex,IN,87537INVPROSA_2022_0F,upm,etsidi00028
219,05/05/2022,23:55:28,adskflex,IN,64801INVPROSA_F,upm,etsidi00028
220,05/05/2022,23:57:27,adskflex,IN,87561RVT_2022_0F,UPM,upm00406
221,05/05/2022,23:57:27,adskflex,IN,85950RVT_F,UPM,upm00406
222,05/05/2022,23:57:37,adskflex,OUT,85950RVT_F,UPM,upm00406
223,05/05/2022,23:57:37,adskflex,OUT,87561RVT_2022_0F,UPM,upm00406
224,05/05/2022,0:01:10,adskflex,OUT,64801INVPROSA_F,upm,etsidi00031
225,05/05/2022,0:01:10,adskflex,OUT,87537INVPROSA_2022_0F,upm,etsidi00031
226,05/05/2022,0:14:14,adskflex,IN,87561RVT_2022_0F,UPM,upm00406
227,05/05/2022,0:14:14,adskflex,IN,85950RVT_F,UPM,upm00406
228,05/05/2022,0:57:30,adskflex,OUT,64801INVPROSA_F,upm,etsidi00033
229,05/05/2022,0:57:30,adskflex,OUT,87537INVPROSA_2022_0F,upm,etsidi00033
230,05/05/2022,1:01:25,adskflex,IN,87537INVPROSA_2022_0F,UPM,upm00440
231,05/05/2022,1:01:25,adskflex,IN,64801INVPROSA_F,UPM,upm00440
232,05/05/2022,1:02:44,adskflex,OUT,64801INVPROSA_F,UPM,upm00440
233,05/05/2022,1:02:44,adskflex,OUT,87537INVPROSA_2022_0F,UPM,upm00440
234,05/05/2022,1:05:20,adskflex,OUT,64801INVPROSA_F,upm,etsidi00033
235,05/05/2022,1:05:20,adskflex,OUT,87537INVPROSA_2022_0F,upm,etsidi00033
236,05/05/2022,1:06:21,adskflex,IN,87537INVPROSA_2022_0F,upm,etsidi00033
237,05/05/2022,1:06:21,adskflex,IN,64801INVPROSA_F,upm,etsidi00033
238,05/05/2022,1:24:31,adskflex,IN,87537INVPROSA_2022_0F,UPM,upm00440
239,05/05/2022,1:24:31,adskflex,IN,64801INVPROSA_F,UPM,upm00440
240,05/05/2022,2:15:37,adskflex,IN,87537INVPROSA_2022_0F,upm,etsidi00033
241,05/05/2022,2:15:37,adskflex,IN,64801INVPROSA_F,upm,etsidi00033
242,06/05/2022,4:08:29,adskflex,IN,64801INVPROSA_F,upm,etsidi00031
243,06/05/2022,4:08:29,adskflex,IN,87537INVPROSA_2022_0F,upm,etsidi00031
244,06/05/2022,9:10:44,adskflex,OUT,64300ACD_F,UPM,upm00068
245,06/05/2022,9:10:44,adskflex,OUT,87545ACD_2022_0F,UPM,upm00068
246,06/05/2022,9:37:16,adskflex,OUT,64300ACD_F,UPM,upm00260
247,06/05/2022,9:37:16,adskflex,OUT,87545ACD_2022_0F,UPM,upm00260
248,06/05/2022,9:38:04,adskflex,IN,87545ACD_2022_0F,UPM,upm00260
249,06/05/2022,9:38:04,adskflex,IN,64300ACD_F,UPM,upm00260
250,06/05/2022,9:57:34,adskflex,OUT,64801INVPROSA_F,UPM,upm00267
251,06/05/2022,9:57:34,adskflex,OUT,87537INVPROSA_2022_0F,UPM,upm00267
252,06/05/2022,11:08:07,adskflex,OUT,64300ACD_F,UPM,upm00461
253,06/05/2022,11:08:07,adskflex,OUT,87545ACD_2022_0F,UPM,upm00461
254,06/05/2022,11:08:14,adskflex,IN,87545ACD_2022_0F,UPM,upm00461
255,06/05/2022,11:08:14,adskflex,IN,64300ACD_F,UPM,upm00461
256,06/05/2022,11:11:47,adskflex,OUT,64801INVPROSA_F,upm,etsidi00040
257,06/05/2022,11:11:47,adskflex,OUT,87537INVPROSA_2022_0F,upm,etsidi00040
258,06/05/2022,11:19:20,adskflex,IN,87537INVPROSA_2022_0F,upm,etsidi00040
259,06/05/2022,11:19:20,adskflex,IN,64801INVPROSA_F,upm,etsidi00040
260,06/05/2022,11:19:37,adskflex,OUT,64801INVPROSA_F,upm,etsidi00040
261,06/05/2022,11:19:37,adskflex,OUT,87537INVPROSA_2022_0F,upm,etsidi00040
262,06/05/2022,11:36:54,adskflex,IN,64300ACD_F,UPM,upm00068
263,06/05/2022,11:36:54,adskflex,IN,87545ACD_2022_0F,UPM,upm00068
264,06/05/2022,11:39:06,adskflex,OUT,64900CIV3D_F,UPM,upm00472
265,06/05/2022,11:39:06,adskflex,OUT,87556CIV3D_2022_0F,UPM,upm00472
266,06/05/2022,12:06:44,adskflex,IN,64801INVPROSA_F,UPM,upm00267
267,06/05/2022,12:06:44,adskflex,IN,87537INVPROSA_2022_0F,UPM,upm00267
